,target,question
22,请问，现在能注册？我怎么老说验证码无效？同标题。谢谢。 ,请问，现在能注册？显示验证码无效？
23,我该不该给我女朋友买手机？我们在一起快两年了！我老妈总是给她卖衣 ,该不该给我女朋友买手机？
24,"爱问第一名,有什么好处呢?有物质奖励吗 ","爱问第一名,有什么奖励呢?"
25,我的号为啥老封啊显示我使用非法的第三软件，可我没用啊，诛仙开始来 ,诛仙显示我使用非法的第三软件
26,有没有迅速缓解口腔溃疡疼痛的方法？在线等。[泪] ,有没有迅速缓解口腔溃疡疼痛的方法？
27,社会人员可以参加英语四六级考试？ ,社会人员可以参加英语四六级考试吗？ 
28,奥尔罕·帕慕克获得诺贝尔文学奖的作品是哪一部？RT ,奥尔罕·帕慕克获得诺贝尔文学奖的作品是哪一部？
29,计算机开机屏幕没反应，要按两次重启键才可以急求解决方法，，，电脑 ,计算机开机需要按两次重启键，屏幕没反应
30,000925怎么老趺 ,老趺 
31,枯木老妖在弱水河畔哪座桥畔 ,枯木老妖在弱水河畔哪座桥畔呢？
32,大盘点位？大盘将10月8日的缺口完全补回，明天中石油申购，上亿资 ,大盘点位？
33,最后一句歌词（我们一起恋爱）是什么歌？ ,什么歌最后一句歌词（我们一起恋爱)？ 
34,"我爱上了我老公的同事,我该和他走吗？我结婚了,有一个很可爱的儿子 ","我爱上了我老公的同事,我该和他走吗？"
35,请教一个有关银行买卖基金的问题？请问各位高手，现在有个问题咨询一 ,请教一个有关银行买卖基金的问题？
36,请问索芙特的祛斑霜管用吗?脸上有好多色素沉着的色斑想买又怕不好用 ,索芙特的祛斑霜管用吗？
37,桌面上的开始工具栏横在左边了，怎么弄回来啊？ ,如何设置桌面上的开始工具栏，横在左边了
38,我的胸有点大走路不直怎么才好？怎么才能让自己被直走路？ ,我的胸有点大走路不直怎么办？
39,猛将的鞋子属性防...猛将鞋子强什么属性防最抢手啊?哥哥姐姐救命 ,猛将的鞋子选什么属性
40,为什么不拍仙剑3电视剧?仙剑3比仙剑1好看得多(飞蓬比李逍遥帅得 ,为什么不拍仙剑3电视剧?
41,"胃镜检查是浅表性萎缩性胃炎,这严重吗,是怎么一回事?应注意什么? ",浅表性萎缩性胃炎是怎么一回事?
42,在淘宝上卖虚拟产品怎么样?我想在淘宝上开个网店，大家都推荐我卖虚 ,在淘宝上卖虚拟产品怎么样?
43,这台组装好没我想购台电脑，我主要是用来学习的可以上网能装些不太大 ,我想购台组装好的电脑
44,"轴流电机和涡轮电机的区别,哪个更好 ",轴流电机和涡轮电机哪个更好 
45,合肥凤凰肿瘤医院怎么样啊？我有个亲戚是淋巴瘤的患者，听说很多人说? ,合肥凤凰肿瘤医院怎么样啊？ 
46,神话里什么门派是法师啊？？其实我个人觉得青云相当于仙族，也是用法 ,神话里什么门派属于法师？
47,芙蓉王烟批发价 ,芙蓉王烟批发价
48,什么时候宝宝可以戒夜奶? ,宝宝什么时候可以戒夜奶? 
49,家乐浓汤宝除了煲汤，还有哪些用处啊？朋友送了这个浓汤宝，还有别的 ,家乐浓汤宝除了煲汤，还有哪些用处
50,问个关于保证书很多人都经历过的问题?懂的请指教我87的弓手称号是 ,问个关于保证书很多人都经历过的问题?
51,"无言以对分手不久的女友不顾我的生硬反对,跑来看了看我,陪了我一宿 ",分手不久的女友不顾我的反对跑来看我
52,战场打出的东西都在哪交比如勋章什么的谁能给个全部的交物品的位置告 ,战场打出的东西都在哪交
53,工程资料的资料宝典中的电子狗为什么做表格时里面的内容不能从EXC ,工程资料的资料宝典
54,急求MP3音频录音机6.0的注册码谁有MP3音频录音机6.0的注 ,谁有MP3音频录音机6.0的注册码
55,"有关显卡升级问题,高手进我的电脑是集成显卡,玩游戏时不是很理想, ",有关显卡升级问题
56,"一次我不小心把打印机的程序给删了,再安装程序后发现假脱机服务被停? ",程序删除互殴再安装发现假脱机服务被停? 
57,办理去台湾的通行证签证小孩子可以不到场吗?” ,小孩子办理去台湾的通行证签证
58,·玩穿越火线要耗多少网速啊?就像下载文件一样有个下载速率.. ,玩穿越火线要耗多少网速啊?
59,"我刚买来的电视机为什么开起来看的时候会有小小的尖叫觉很不舒服声,? ",电视机开起来看的时候有小小的尖叫声? 
60,请问是用飚车的会员号进游戏的吗？？？我冲了一张150点的点卡我进 ,请问是用飚车的会员号进游戏的吗？
61,男女都找情人，是不是好办法？老婆也找，老公也找，扯平，都满足，好 ,男女都找情人，是不是好办法？
62,"同城,异城如何区分同城与异城,不同的县级市是同城还是异城?? ",如何区分同城与异城
63,清泉大师，600736今天是否可介入？谢谢刚才写错了，不好意思。 ,清泉大师，600736今天是否可介入？
64,重庆早孕检查哪家医院比较好呢？有哪些方法？ ,重庆早孕检查哪家医院比较好呢？
65,迅雷的“FTP探测器”有什么用啊？啊？ ,迅雷的“FTP探测器”有什么用？
66,合区后角色名可以换吗合区后主号跟英雄的名字都可以申请更换吗??? ,合区后主号跟英雄的名字都可以申请更换吗?
67,注册给排水工程师考试现在环境工程专业能否报考注册给排水工程师？基 ,现在环境工程专业能否报考注册给排水工程师？
68,有哪位高人知道《红楼梦》中的人物之间的关系？ ,《红楼梦》中的人物之间的关系？ 
69,我想知道为什么跑车的轮胎很宽很薄，轮毂也比较大，比如奥迪TT。轮? ,为什么跑车的轮胎很宽很薄，轮毂也比较大
70,我家宝宝四个多月了，有时会恶心，不知是怎么回事 ,宝宝四个多月了，有时会恶心，为什么
71,看一下有没有脱发秘方?脱发用过好多产品就是效果不好，不知道谁有秘 ,看一下有没有脱发秘方？
72,请问大家上海建工机施公司新进员工的待遇怎么样啊？我是上海的机械专 ,上海建工机施公司新进员工的待遇怎么样？
73,为什么我的音乐播放器和日历不显示？？？好象３天了，我的博客音乐播 ,为什么我的音乐播放器和日历不显示？
74,"妈妈晚上和我睡,看不了小说怎麽/?急 ","妈妈晚上和我睡,看不了小说怎麽"
75,中医说我肝火旺盛，可是喝了药也不管用呢喝中药快一个月了，怎么老是 ,肝火旺盛怎么办
76,求函数y=x+√(1,求解函数y=x+√(1
77,法师的修真任务“开辟通路”为什么不能做？我30级法师接了“开辟通 ,法师的修真任务“开辟通路”为什么不能做？ 
78,成都美式家具都有什么品牌，比较知名的实木的，古典的，或者田园的都 ,成都美式家具有什么品牌
79,08年卡宴S黑色20000公里高配欲卖应该开价多少？开价100万? ,08年卡宴S黑色20000公里高配应该开价多少？
80,新任务问题NPC位置于里谢里亚堡磨石贩卖的先生隔壁站着三位NPC ,位于里谢里亚堡磨石贩卖的先生隔壁站着三位NPC 
81,英语四级在社会上好考吗 ,社会上英语四级好考吗 
82,行行出状元（体育名词一）不答：全能冠军，另答。 ,行行出状元（体育名词一） 
83,一道英语选择题~,一道英语选择题
84,关于吵架为什么人吵架的时候，都认为自己是对的？ ,为什么人吵架的时候都认为自己是对的？ 
85,麦克风哪有得买？我想买一个可以带在耳朵上的小型麦克风，请问一般的 ,麦克风哪里能买？
86,女生可以抽烟吗？我有个朋友（是个女生）经常抽烟，而且抽的很凶，特 ,女生可以抽烟吗？
87,孩子刚满月丈夫提出离婚，我该怎么办， ,孩子刚满月丈夫提出离婚怎么办
88,为什么文明3游戏世界在xp下老是报字型读取错误？根本就进不了游戏 ,为什么文明3游戏世界在xp下报字型读取错误？
89,看看吧！这就是足球！！！今晚球队不设防！晕死！几轮的进球在一轮全 ,今晚球队不设防
90,怎么捉宠啊 ,怎么捉宠 
91,我是大众卡用户，申请了DHC的试用装，但没收到，是大众卡用户不行? ,大众卡用户申请DHC的试用装
92,我本是男生，请问如何促进胸肌发达？我很想要有丰满的胸乳肌肉。谢谢 ,男生如何促进胸肌发达？
93,什么是发展中国特色社会主义的基本要求？ ,发展中国特色社会主义的基本要求
94,好看的耽美电影有哪些 ,有哪些好看的耽美电影
95,哪里有卖酒心糖的？现在这个季节可能都没有卖酒心糖的了，我去了好几 ,哪里有卖酒心糖的？
96,政治面貌和预备党员用英文怎么说？ ,政治面貌和预备党员用英文怎么说呢？ 
97,【灯谜】（歇后语一）东山跑过驴，西山打过虎 ,东山跑过驴，西山打过虎 
98,请问鬼王的四灵潘是不是转到三重就会有了还是要去买啊 ,请问鬼王的四灵潘转到三重后需要购买吗
99,"为什么只有网通的进不去呀??系统总是说更新失败请重新启动呀,郁闷 ",为什么只有网通的进不去呀?系统更新失败
