id,原始问题,改写问题
175,哪种电子狗最好？？？ ,哪种电子狗最好？
176,香港人能看到中央电视台的节目吗？如题 ,香港能看到中央电视台的节目嘛？
177,我买的奶酪发苦是什么原因？正常吗 ,为什么买的奶酪发苦？
178,打造熟练度如何快速提高熟练度？ ,如何快速提高熟练度？
179,口碑互动公司的核心优势是什么？ ,什么是公司的核心优势？
180,怎样才能和女朋友相处融洽 ,怎样才能和女朋友相处融洽 
181,F1一支车队有多少预算？ ,F1一支车队有多少预算？ 
182,肾虚会导致尿频吗 ,肾虚会导致尿频吗 
183,《李小龙传奇》里有架打的是哪几集？ ,《李小龙传奇》里哪几集有架打？ 
184,"为什么我的硬盘只有C盘,其他盘符没有了 ",为什么硬盘只有C盘
185,芬兰海军舰艇现状及其性能 ,芬兰海军舰艇现状及其性能是什么？
186,怎么扔掉低级宠物啊? ,如何扔掉低级宠物？
187,工行有6年期的美元理财产品吗？ ,工行有6年期的美元理财产品吗？ 
188,北京做烤瓷牙需要多久，哪家好 ,做烤瓷牙需要多久？
189,火影下忍中最强的女忍者是谁? ,火影下忍中最强的女忍者是谁? 
190,怎么折鸵鸟？怎么把千纸鹤折成鸵鸟？ ,如何吧千纸鹤折成鸵鸟？
191,建安七子怎么记记得牢 ,如何记得牢建安七子
192,什么化妆品对面美白效果好 ,什么化妆品对面美白效果好 
193,怎样向孩子解释社会阴暗面? ,如何和孩子解释社会阴暗面？
194,奇瑞E3出厂配的是什么牌子的轮胎？ ,奇瑞出厂配什么牌子的轮胎？
195,厨房地面用什么颜色的瓷砖比较美观适合？ ,厨房地面用什么颜色的瓷砖比较美观适合？ 
196,地球到太阳的距离会越来越近吗？ ,地球到太阳的距离会越来越近吗？ 
197,6998平台是干什么的？ ,6998平台是干嘛的？
198,"人体有多少穴道?个是什么,有什么作用? ",人体有多少个穴道？
199,那里可以看到免费看电影斗鱼 ,哪里可以免费看电影？
200,有什么好看的电视剧推荐一下？ ,推荐一下有什么电视剧好看？
201,火箭炮音响是继往开来的新品么？ ,火箭炮音响是新品么？
202,交换机到底工作在第几层？ ,交换机在第几层工作？
203,CEO是什么意思? ,CEO是什么意思? 
204,下辈子不要做男人有选择吗？ ,下辈子可以不做男人嘛？
205,社保缴费的多少记入个人帐户? ,社保缴费是记入个人帐户嘛? 
206,智商最高的人是谁 ,谁是智商最高的人？
207,桃树开花期虫子多怎么办 ,桃树开花期虫子多怎么办 
208,电信双模双卡手机移动信号会不会好？ ,电信双模双卡手机移动信号会不会好？ 
209,显示那种颜色最耗损电脑液晶屏幕？ ,哪种颜色最耗损电脑液晶屏幕？
210,现在银行活期和货币基金那个收益好? ,银行活期和货币基金哪个收益好？
211,魔力以后能少多少玩家？ ,魔力以后能少多少玩家？ 
212,怎么能钓到红色鲤鱼哦? ,如何钓到红色鲤鱼？
213,本本，青岛有啥好玩的推荐一下 ,青岛有什么好玩的？
214,单身好还是有女友好/ ,单身好还是有女友好？
215,人之常情哪些 ,哪些是人之常情？
216,不定期清洗空调，对空调有什么危害 ,不定期清洗空调有什么危害？
217,为什么日光灯在刚打开时会不停的闪？ ,为什么日光灯在刚打开时会不停的闪？ 
218,有什么学习网页设计的网站或论坛? ,有什么网站可以学习网页设计？
219,吃什么东西会让肾衰竭加速 ,吃什么东西会让肾衰竭加速 
220,想入佛门清修，不知何处可容？ ,哪里可以入佛门清修？
221,美国电源美国的工业电源制式 ,美国的工业电源制式是什么？
222,哪些东西是补血的??? ,哪些东西可以补血？
223,容易得到的爱情是不是就不会长久? ,容易得到的爱情是不是就不会长久? 
224,在东京商城买东西怎么联系卖家？ ,在京东商城买东西如何联系卖家？
225,突然觉得自己不喜欢与人说话了是怎么回事 ,为什么突然觉得自己不喜欢和别人说话了？
226,下载的电影如何加入字幕 ,如何在下载的电影里加入字幕？
227,号被盗了~郁闷的很~ ,号被盗了怎么办？
228,三棱锥侧面两两垂直的性质 ,三棱锥侧面两两垂直的性质是什么？ 
229,地下停车位收费有标准吗 ,地下停车位有收费标准嘛？
230,攒不住钱怎么办？ ,攒不住钱怎么办？
231,武林外传的帐号怎么申请 ,如何申请武林外传的账号？
232,一年来反复起痘痘，发红，不痒。 ,反复起痘痘怎么办？
233,元宵节的来历 ,元宵节的来历是什么？
234,动画中的一帧是什么意思 ,动画中的一帧是什么意思 
235,洗衣机，买什么样的洗衣机性价比高？ ,什么样的洗衣机性价比高？
236,怎么查看电脑配置玩剑灵 ,如何查看电脑配置？
237,台湾哪些地方卖的衣服好看``` ,台湾哪些地方卖的衣服好看？
238,慢化剂和冷却剂的作用？ ,慢化剂和冷却剂的作用是什么？ 
239,网上买电脑安全吗 ,在网上买电脑安全嘛？
240,都来看看什么动物最爱迷路？ ,什么动物最爱迷路？
241,"魔兽公测了,还有多少人支持魔力? ",现在还有多少人支持魔兽？
242,台湾哪个明星唱歌最红台湾唱歌女明星最红 ,台湾哪个明星唱歌最红？
243,财富通帐号支付密码忘记怎么办〈急〉 ,财付通支付密码忘记怎么办？
244,什么是顺耳之年 ,顺耳之年是什么意思
245,李涯代号为什么叫“佛龛”？ ,李涯代号为什么叫“佛龛”？ 
246,股权置换即置换股权？ ,股权置换是置换股权嘛？
247,L1试驾活动在哪里呢？观望没找到啊、 ,哪里有试驾活动？
248,米色风衣配里面配什么颜色的高领毛衣好呢 ,米色风衣配什么颜色的高领毛衣好？
249,到地什么时候公册 ,什么时候公册？
250,学习影视后期制作难学吗我比较笨 ,影视后期制作难学嘛？
251,作表格用什么软件？那里下载？ ,哪个软件可以做表格？
252,狼群用英语怎麽说 ,狼群用英语怎么说
253,成年腊肠犬属于小型犬还是中型的 ,成年腊肠犬属于小型犬嘛？
254,什么时候可以看到梅花啊? ,什么时候可以看到梅花？
255,“只招英语语种考生”是什么意思？ ,“只招英语语种考生”是什么意思？ 
256,国庆期间有没有新出什么歌曲？ ,国庆期间有没有新出什么歌曲？ 
257,怎么才能查到被谁悄悄关注？ ,如何可以查到被谁悄悄关注？ 
258,新浪积分如何兑换成爱问积分？ ,新浪积分如何兑换成爱问积分？ 
259,羽毛球的边界问题 ,羽毛球的边界问题是什么？
260,"新手买主机硬件,应该注意什么? ",新手买主机应该注意什么？
261,滑膜炎的治疗药物中，什么是最有效的？ ,治疗滑膜炎的药物中什么最有效？
262,在网上能下载游戏吗 ,网上可以下载游戏嘛？
263,请问中国的国花是什么？ ,中国的国花是啥？
264,士官退伍能拿多少钱？ ,士官退伍会拿多少钱？
265,现在有古代的信鸽吗？真的有那么神奇吗 ,现在还有古代的信鸽嘛？
266,给爱情下个定义什么是爱情？ ,什么是爱情？
267,请问迅雷的连接数有什么用？？如下图 ,迅雷的连接数有什么作用？
268,宝宝腹泻吃什么！ ,宝宝腹泻该吃什么药呢？
269,中兴手机好用吗 ,中兴手机好用吗？
270,手机内存卡可以从互联网上下载的电影吗？ ,手机内存卡可以下载电影嘛？
271,自考一定要在户口本地考吗？ ,自考一定要在户口本地考吗？
272,怎么取消锁定账号？在线等，速度 ,如何取消锁定账号？
273,怎么才能删除里面的文章啊！~ ,如何删除里面的文章？
274,如何才能知道H股的价格？ ,如何才能知道H股的价格？ 
275,魔动王主题曲叫什么？我要歌名 ,魔动王主题曲叫什么？
276,为什么称自己的孩子为犬子？ ,为什么把自己的孩子叫犬子？
277,怎样使初中学生学习积极? ,如何让初中学生学习积极？
278,女人怎样做才可以获得真正的爱情? ,女人怎样做才可以获得真正的爱情? 
279,生孩子怎么样才能没有疤痕？ ,生孩子怎么样才能没有疤痕？ 
280,"苦瓜那么苦,为什么我爱吃?如题. ",为什么爱吃苦瓜？
281,若汉献帝落到刘备手里，他的命运将如何? ,如果汉献帝落到刘备手里会怎么样？
282,陶器的起源 ,陶器的起源是什么
283,双氧水是酸性还是碱性？ ,双氧水是酸性还是碱性的？
284,在糖水中加少量盐，尝起来会怎样？ ,在糖水中加少量盐尝起来怎么样？
285,会计证到期未年检会不会作废？ ,会计证到期未年检会不会作废？ 
286,商家同一商品标价不一 ,商家是同一个但是商品标价不一样怎么办？
287,芬尼热水器是一体式还是分体式啊？ ,芬尼热水器是一体式还是分体式？ 
288,为什么看电脑时不宜戴隐形眼镜? ,看电脑时为什么不宜戴隐形眼镜? 
289,英语专业的学生考研方向是什么呢？ ,英语专业的考研方向是什么？
290,支原体阳性用什么药 ,支原体阳性用什么药？
291,“丰速之城”好玩吗？ ,“丰速之城”好玩吗？ 
292,什么是压铜接线端子照明工程中的问题 ,什么是亚铜接线？
293,手脚为什么会掉皮脚和手也一样 ,手脚为什么会掉皮？
294,怎么样做一个优秀的保险代理人 ,如何做一个优秀的保险代理人？
295,怎么解除黑名单功能不好用 ,如何解除黑名单？
296,中国现代有写作最利害的有那几位? ,中国现代写作最厉害的有谁？
297,内地的轩5豪华版价格多少？赠品有那些？ ,内地的轩5豪华版价格是多少？
298,血为什么浓于水？ ,血为什么会浓于水
299,CNNIC中文上网官方版怎样删? ,CNNIC中文上网官方版怎样删? 
300,一氧化硫在化学里怎么写？ ,怎么写一氧化硫？
301,脑筋急转变什么时候四减三会等于五 ,什么适合四减三等于五？
302,用手不释卷造句 ,用手不释卷造句？
303,怎么申请微博达人 ,如何申请微博达人？
304,绿豆为什么会长虫？ ,绿豆为什么会长虫子？
305,如何修改用户名 ,如何修改用户名？
306,乔丹为什么在空中停留时间达2.8秒？ ,乔丹为什么在空中停留时间达2.8秒？ 
307,欧冠16强当中有几只俄罗斯球队？ ,欧冠16强当中有几只俄罗斯球队？ 
308,找到我的爱情？要有爱心， ,如何找到我的爱情？
309,什么是不转让债券? ,不转让债券是什么？
310,如何轻松学会判断经济数据 ,如何轻松学会判断经济数据 
311,请问大家眼球震颤性弱视是不是很严重的？ ,眼球震颤性弱视是不是很严重？
312,信用卡的外观都包括哪些内容？ ,信用卡的外观都包括哪些？ 
313,什么是科学发展观 ,科学发展观是什么
314,杭州上城区有哪些菜场 ,杭州上城区有哪些菜场 
315,华东野战军十一纵政委是谁 ,华东野战军十一纵政委是谁 
316,谁知道二次入伍的规定啊?谢谢了 ,二次入伍有什么规定？
317,篮球游戏怎么玩？ ,怎么玩篮球游戏？
318,纯绵布涂层成分是什么 ,纯棉布涂层的成分是什么？
319,RT颈箍有什么作用 ,颈箍的作用是什么？
320,青藏铁路经过什么自然保护区？ ,青藏铁路经过哪个自然保护区？ 
321,中国第一部过亿的电影是哪部有人知道吗？ ,中国第一部过亿的电影是谁？
322,右后卫和右边后卫差别 ,右后卫和右边后卫有什么区别？
323,南京大学生命科学学院录取分数 ,南京大学生命科学学院录取分数是多少？
324,国产五联疫苗预防那些病？ ,哪些病能被国产五联疫苗预防？
325,2G和3G卡有什么不一样吗？ ,2G和3G卡有什么区别？
326,治哮喘很快就见效的药有哪些 ,见效快的治哮喘药有哪些？
327,那个网站订机票比较便宜？谢谢 ,订机票用哪个网站比较便宜？
328,一个半月的婴儿有一天不怎么哭闹正常码 ,婴儿不怎么哭闹正常吗？
329,婴儿用哪种纸尿裤好？ ,婴儿适合用哪种纸尿裤
330,郑州专家介绍什么情况下容易的癫痫 ,什么情况下容易得癫痫？
331,怎么看博客的访客量？ ,如何看博客的访客量？
332,你觉得生活中最不能缺少什么? ,生活中最不能缺少什么？
333,AK47是哪国造的，哪一年的？ ,AK47是哪个国家造的？
334,有什么办法可以消气呢！ ,有什么办法可以消气？
335,w7电脑硬盘怎样分区 ,电脑硬盘怎样分区呢？
336,请问新手序列号怎么弄啊？ ,如何做新手序列号？
337,怎么把搜狗输入法设置为默认输入法 ,如何把搜狗输入法设置为默认输入法？
338,浅粉红色的裤子配什么颜色的上衣好呢？ ,浅粉红色的裤子配什么颜色的上衣好呢？ 
339,要有一天的好心情用英语怎么说？ ,要有一天的好心情用英语怎么说？ 
340,农行哪个基金好？ ,农行哪个基金好？ 
341,怎么样营造家庭气氛呢 ,如何营造家庭气氛？
342,如何修改呢称 ,怎么修改昵称？
343,硬盘哪家的质量更好？？？ ,哪家硬盘的质量更好？
344,“给”是动词还是介词？ ,“给”是动词还是介词？ 
345,医生肝炎会传染吗 ,肝炎会传染吗？
346,本票，汇票，支票有何区别？ ,本票、汇票、支票有什么区别？
347,波段操作怎么做？？？？？？？ ,波段操作该怎么办？
348,鲁迅日记中的戌午年是哪一年 ,鲁迅日记中的戌午年是哪一年 
349,软件是怎么做的，原理是什么？ ,软件是怎么做的呢？
350,怎么委婉的表白 ,如何委婉的表白
351,宝宝鼻子不通怎么回事？向@育儿专家,宝宝鼻子不通是为什么？
352,清炒虾仁?虾仁怎么烧才能个大雪白? ,清炒虾仁怎么做？
353,社会保险停交一年后如何续交？ ,社会保险停交一年后如何续交？ 
354,美国宪法规定总统有解散国会的权利吗? ,美国宪法规定总统有解散国会的权利吗? 
355,福彩3d的试机号和中奖号有什么关系？ ,福彩3d的试机号和中奖号有什么关系？ 
356,如何控制自己不赌博！ ,怎么样控制自己不赌博？
357,什么样的中介可靠？ ,什么样的中介可靠？ 
358,登陆异常？无法登陆？ ,登录异常该怎么办？
359,语法问题7请写出判断依据 ,如何判断语法问题？
360,我的会员是怎么开通的 ,如何开通会员？
361,如果做冰点脱毛，那脱毛效果如何？ ,冰点脱毛的效果怎么样？
362,刮莎和针灸能治好腰椎间盘突出吗? ,刮莎和针灸能治好腰椎间盘突出吗? 
363,哪天是离婚的好日子？ ,哪天是离婚的好日子？ 
364,什么牌子的鼠标比较好？罗技？ ,哪个牌子的鼠标比较好？
365,请问我没有赶上火车，车票还可以退嘛？ ,没有赶上火车可以退票吗？
366,你最爱的人是谁？ ,你最爱的人是谁？
367,世界杯最佳新人竞猜？谁？ ,世界杯最佳新人是谁？
368,学生头屑很多而且脱发很厉害怎么办？ ,头屑很多脱发很厉害怎么办？
369,拍子的强弱什么意思 ,拍子的强弱分别表示什么意思
370,齐达内的妻子叫什么名字? ,齐达内的妻子叫什么？
371,请问上周热点股票有那些？谢谢 ,哪些是上周热点股票？
372,丝绸之路的起点? ,哪里是丝绸之路的起点？
373,什么叫排查？ ,排查是什么意思？
374,药检局　和　药检所　有何区别 ,药检局和药检所的区别是什么？
375,早上起来口酸是怎么回事 ,早上起来为什么会口酸呢
376,l升等于多少斤？请问：1升等于多少斤？ ,1升等于多少斤？
377,绩效工资是不是每半年算一次？ ,是不是每半年算一次绩效工资？
378,《世界人权宣言》中包含哪两类人权？ ,《世界人权宣言》中包含哪两类人权？ 
379,为什么称韩国日本的饭店叫做“料理”？ ,韩国日本的饭店为什么叫料理？
380,人在什么时候是最害怕的是什么 ,人在什么时候最害怕
381,京剧中的黑脸或红脸分别代表什么？ ,京剧中的黑脸和红脸分别代表什么？
382,两肺纹理增粗什么意思 ,两肺纹理增粗是什么意思？
383,伦敦奥运会点燃火炬的五个小孩是谁？ ,伦敦奥运会点燃火炬的五个小孩是谁？ 
384,葡萄酒为什么要用木制的瓶塞 ,葡萄酒的瓶塞为什么要用木制的？
385,十一岁的女孩应该看什么书？ ,十一岁的女孩应该看什么书？ 
386,男人对女人若即若离会怎样做? ,男人如何对女人若即若离? 
387,南京机场在哪里 ,南京的机场在哪里
388,进项发票网上如何验证？ ,如何在网上验证进项发票？
389,猜谜＜黄昏前后＞猜一个字 ,黄昏前后猜一个字？
390,如何抗皱？用什么产品抗皱效果好？ ,如何抗皱？
391,装修油烟机大概要多少钱？ ,装修油烟机大概需要多少钱？
392,地铁边买房好不好? ,在地铁旁边买房好不好？
393,描写英雄人物的四字词有那些? ,有哪些四字词是描写英雄人物的？
394,怎么样可以早睡早起求解 ,如何可以早睡早起？
395,男人应该怎么克服因为不帅带来的自卑呢？ ,男人如何克服因为不帅带来的自卑感？
396,友情链接怎么弄? ,如何做友情链接？
397,公司开具增值税普通发票要纳增值税吗？ ,公司开具增值税普通发票要纳增值税吗？ 
